nss_state_name,nss_district_code,district_name,spei_state_name,spei_district_code,nss_state_code,NSS_code,nss_district_code19
Gujarat,29,chhota udepur,GUJARAT,91,24,241,2429
Gujarat,22,dangs,GUJARAT,106,24,241,2422
Gujarat,30,dev bhumi-dwarka,GUJARAT,4,24,245,2430
Gujarat,18,dohad,GUJARAT,102,24,241,2418
Gujarat,6,gandhinagar,GUJARAT,439,24,242,2406
Gujarat,31,gir somnath,GUJARAT,148,24,245,2431
Gujarat,10,jamnagar,GUJARAT,5,24,245,2410
Gujarat,12,junagadh,GUJARAT,191,24,245,2412
Gujarat,1,kachchh,GUJARAT,6,24,244,2401
Gujarat,16,kheda,GUJARAT,437,24,242,2416
Gujarat,4,mahesana,GUJARAT,438,24,242,2404
Gujarat,32,mahisagar,GUJARAT,239,24,241,2432
Gujarat,33,morbi,GUJARAT,1,24,245,2433
Gujarat,20,narmada,GUJARAT,263,24,241,2420
Gujarat,23,navsari,GUJARAT,10,24,241,2423
Gujarat,17,panch mahals,GUJARAT,282,24,241,2417
Gujarat,3,patan,GUJARAT,440,24,243,2403
Gujarat,11,porbandar,GUJARAT,433,24,245,2411
Gujarat,9,rajkot,GUJARAT,434,24,245,2409
Gujarat,5,sabar kantha,GUJARAT,311,24,242,2405
Gujarat,25,surat,GUJARAT,9,24,241,2425
Gujarat,8,surendranagar,GUJARAT,435,24,245,2408
Gujarat,26,tapi,GUJARAT,359,24,241,2426
Gujarat,19,vadodara,GUJARAT,375,24,241,2419
Gujarat,24,valsad,GUJARAT,11,24,241,2424
Haryana,2,ambala,HARYANA,446,6,61,602
Haryana,13,bhiwani,HARYANA,462,6,62,613
Haryana,20,faridabad,HARYANA,479,6,61,620
Haryana,10,fatehabad,HARYANA,481,6,62,610
Haryana,18,gurgaon,HARYANA,490,6,61,618
Haryana,12,hisar,HARYANA,493,6,62,612
Haryana,15,jhajjar,HARYANA,503,6,61,615
Haryana,9,jind,HARYANA,504,6,62,609
Haryana,5,kaithal,HARYANA,505,6,61,605
Haryana,6,karnal,HARYANA,508,6,61,606
Haryana,4,kurukshetra,HARYANA,519,6,61,604
Haryana,16,mahendragarh,HARYANA,531,6,62,616
Haryana,19,mewat,HARYANA,535,6,61,619
Haryana,21,palwal,HARYANA,556,6,61,621
Haryana,1,panchkula,HARYANA,557,6,61,601
Haryana,7,panipat,HARYANA,558,6,61,607
Haryana,17,rewari,HARYANA,574,6,62,617
Haryana,14,rohtak,HARYANA,575,6,61,614
Haryana,11,sirsa,HARYANA,589,6,62,611
Haryana,8,sonipat,HARYANA,593,6,61,608
Haryana,3,yamunanagar,HARYANA,614,6,61,603
Himachal Pradesh,1,chamba,HIMACHAL PRADESH,82,2,22,201
Himachal Pradesh,6,hamirpur,HIMACHAL PRADESH,158,2,21,206
Himachal Pradesh,2,kangra,HIMACHAL PRADESH,196,2,21,202
Himachal Pradesh,12,kinnaur,HIMACHAL PRADESH,512,2,22,212
Himachal Pradesh,4,kullu,HIMACHAL PRADESH,229,2,21,204
Himachal Pradesh,3,lahul & spiti,HIMACHAL PRADESH,521,2,22,203
Himachal Pradesh,5,mandi,HIMACHAL PRADESH,246,2,21,205
Himachal Pradesh,11,shimla,HIMACHAL PRADESH,331,2,22,211
Himachal Pradesh,10,sirmaur,HIMACHAL PRADESH,340,2,22,210
Himachal Pradesh,9,solan,HIMACHAL PRADESH,343,2,22,209
Himachal Pradesh,7,una,HIMACHAL PRADESH,371,2,21,207
Jammu & Kashmir,14,anantnag,JAMMU AND KASHMIR,400,1,13,114
Jammu & Kashmir,2,badgam,JAMMU AND KASHMIR,412,1,13,102
Jammu & Kashmir,9,bandipura,JAMMU AND KASHMIR,413,1,13,109
Jammu & Kashmir,8,baramula,JAMMU AND KASHMIR,401,1,13,108
Jammu & Kashmir,16,doda,JAMMU AND KASHMIR,426,1,12,116
Jammu & Kashmir,11,ganderbal,JAMMU AND KASHMIR,414,1,13,111
Jammu & Kashmir,21,jammu,JAMMU AND KASHMIR,623,1,11,121
Jammu & Kashmir,4,kargil,LADAKH,424,1,14,104
Jammu & Kashmir,7,kathua,JAMMU AND KASHMIR,402,1,11,107
Jammu & Kashmir,18,kishtwar,JAMMU AND KASHMIR,425,1,12,118
Jammu & Kashmir,15,kulgam,JAMMU AND KASHMIR,415,1,13,115
Jammu & Kashmir,1,kupwara,JAMMU AND KASHMIR,416,1,13,101
Jammu & Kashmir,3,leh,LADAKH,423,1,14,103
Jammu & Kashmir,12,pulwama,JAMMU AND KASHMIR,417,1,13,112
Jammu & Kashmir,5,punch,JAMMU AND KASHMIR,399,1,12,105
Jammu & Kashmir,6,rajouri,JAMMU AND KASHMIR,418,1,12,106
Jammu & Kashmir,17,ramban,JAMMU AND KASHMIR,419,1,12,117
Jammu & Kashmir,20,reasi,JAMMU AND KASHMIR,420,1,12,120
Jammu & Kashmir,22,samba,JAMMU AND KASHMIR,427,1,11,122
Jammu & Kashmir,13,shupiyan,JAMMU AND KASHMIR,421,1,13,113
Jammu & Kashmir,10,srinagar,JAMMU AND KASHMIR,422,1,13,110
Jammu & Kashmir,19,udhampur,JAMMU AND KASHMIR,403,1,12,119
Jharkhand,10,bokaro,JHARKHAND,76,20,202,2010
Jharkhand,2,chatra,JHARKHAND,88,20,202,2002
Jharkhand,5,deoghar,JHARKHAND,120,20,202,2005
Jharkhand,9,dhanbad,JHARKHAND,117,20,202,2009
Jharkhand,17,dumka,JHARKHAND,125,20,202,2017
Jharkhand,12,east singhbhum,JHARKHAND,293,20,201,2012
Jharkhand,1,garhwa,JHARKHAND,143,20,201,2001
Jharkhand,4,giridih,JHARKHAND,149,20,202,2004
Jharkhand,6,godda,JHARKHAND,150,20,202,2006
Jharkhand,21,gumla,JHARKHAND,154,20,201,2021
Jharkhand,15,hazaribagh,JHARKHAND,168,20,202,2015
Jharkhand,18,jamtara,JHARKHAND,180,20,202,2018
Jharkhand,20,khunti,JHARKHAND,213,20,201,2020
Jharkhand,3,kodarma,JHARKHAND,217,20,202,2003
Jharkhand,14,latehar,JHARKHAND,234,20,201,2014
Jharkhand,11,lohardaga,JHARKHAND,235,20,201,2011
Jharkhand,8,pakur,JHARKHAND,278,20,202,2008
Jharkhand,13,palamu,JHARKHAND,280,20,201,2013
Jharkhand,16,ramgarh,JHARKHAND,303,20,202,2016
Jharkhand,19,ranchi,JHARKHAND,306,20,201,2019
Jharkhand,7,sahibganj,JHARKHAND,314,20,202,2007
Jharkhand,24,saraikela-kharsawan,JHARKHAND,319,20,201,2024
Jharkhand,22,simdega,JHARKHAND,338,20,201,2022
Jharkhand,23,west singhbhum,JHARKHAND,284,20,201,2023
Karnataka,2,bagalkot,KARNATAKA,33,29,294,2902
Karnataka,1,belagavi,KARNATAKA,57,29,294,2901
Karnataka,11,bellary,KARNATAKA,40,29,294,2911
Karnataka,29,bengaluru rural,KARNATAKA,59,29,293,2929
Karnataka,18,bengaluru urban,KARNATAKA,60,29,293,2918
Karnataka,4,bidar,KARNATAKA,68,29,294,2904
Karnataka,24,chamarajanagar,KARNATAKA,81,29,293,2924
Karnataka,28,chikkaballapura,KARNATAKA,92,29,293,2928
Karnataka,16,chikmagalur,KARNATAKA,93,29,292,2916
Karnataka,12,chitradurga,KARNATAKA,94,29,294,2912
Karnataka,21,dakshina kannada,KARNATAKA,103,29,291,2921
Karnataka,13,davanagere,KARNATAKA,110,29,294,2913
Karnataka,8,dharwad,KARNATAKA,121,29,294,2908
Karnataka,7,gadag,KARNATAKA,140,29,294,2907
Karnataka,20,hassan,KARNATAKA,165,29,292,2920
Karnataka,10,haveri,KARNATAKA,167,29,294,2910
